"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"05-11-25 / 05:57 PM","Left Field Bleachers","185","2","4","24"
"05-11-25 / 02:59 PM","Lower Box","135","25","2","64"
"05-10-25 / 10:07 PM","Press Club","PL6","2","2","641"
"05-10-25 / 01:34 PM","Field","118","25","2","44"
"05-09-25 / 10:49 PM","Field","115","26","2","30"
"05-09-25 / 09:48 PM","Field","143","20","2","42"
"05-08-25 / 04:40 PM","Lower Box","129","36","4","63"
"05-08-25 / 03:14 PM","Lower Box","124","8","2","120"
"05-08-25 / 12:33 PM","Field","142","3","2","73"
"05-08-25 / 12:36 AM","Upper","331","2","2","33"
"05-08-25 / 12:19 AM","Lower Box","136","32","0","59"
"05-07-25 / 01:20 PM","Upper","329","10","2","22"
"05-06-25 / 07:40 PM","Lower Box","119","9","2","82"
"05-05-25 / 07:04 PM","Upper","331","1","2","42"
"05-05-25 / 01:11 PM","Lower Box","127","11","0","73"
"05-05-25 / 01:11 AM","Lower Box","129","10","0","137"
"05-04-25 / 08:31 PM","Field","146","1","4","83"
"05-04-25 / 08:24 PM","Upper","327","1","2","34"
"05-04-25 / 01:59 PM","Lower Box","124","25","4","76"
"05-03-25 / 09:27 PM","Upper","339","9","2","22"
"05-02-25 / 02:13 PM","Lower Box","138","14","2","61"
"05-01-25 / 11:42 PM","Field","143","20","5","42"
"05-01-25 / 08:22 PM","Field","115","11","4","43"
"04-29-25 / 11:01 PM","Upper","320","1","2","34"
"04-29-25 / 05:11 PM","Upper","320","1","2","34"
"04-28-25 / 08:26 PM","Terrace Club","239","10","4","61"
"04-28-25 / 03:30 PM","Lower Box","137","25","2","64"
"04-28-25 / 02:49 AM","Upper","331","9","2","26"
"04-27-25 / 05:22 PM","Upper","331","10","2","19"
"04-26-25 / 07:57 PM","Lower Box","123","17","2","95"
"04-26-25 / 10:47 AM","Upper","333","11","2","18"
"04-25-25 / 06:56 PM","Lower Box","137","19","2","67"
"04-24-25 / 12:12 AM","Left Field Bleachers","182","1","2","24"
"04-23-25 / 07:06 PM","Field","142","22","2","45"
"04-22-25 / 07:25 PM","Left Field Bleachers","181","3","4","22"
"04-22-25 / 05:27 PM","Lower Box","121","6","4","108"
"04-22-25 / 03:27 AM","Lower Box","129","13","2","102"
"04-21-25 / 06:51 PM","Lower Box","122","15","0","567"
"04-21-25 / 05:33 PM","Upper","331","14","0","12"
"04-20-25 / 06:19 PM","Lower Box","137","14","0","63"
"04-20-25 / 02:57 PM","Field","142","2","0","59"
"04-19-25 / 10:27 PM","Upper","328","13","0","12"
"04-19-25 / 09:30 PM","Field","116","2","2","72"
"04-19-25 / 06:05 PM","Lower Box","124","24","2","76"
"04-18-25 / 12:15 PM","Left Field Bleachers","186","1","4","23"
